Customer ID,Time Stamp,Exp Date,New Exp Date,Txn Type,Proc Type,Sigxp No,Premium,Text Date Time,Call Date Time,Visit Date Time,Complete Date,Company Name,Ownership,Memo,Postal Code,Addr St Nm,Addr Pv Nm,Chg Date Time
0000000001,20170913232831,2,2,RENEWAL,WAITING,5,6.0,7,8,9,10,11,12,13,14,15,16,null
0000000001,20170920004055,asdf,,asdf,,,0.0,,,,,,,,,,,null
0000000001,20170924085121,,null,RENEWAL,READY,,0.0,null,null,null,null,,,null,null,null,null,null
0000000001,20170924151821,null,null,RENEWAL,READY,,0.0,null,null,null,null,,,null,null,null,null,null
0000000001,20170929202503,20170901,,RENEWAL,COMPLETE,,0.0,,,,,,,,,,,null
0000000001,20171003004244,asdf,,RENEWAL,READY,,0.0,,,,,,,,,,,null
0000000001,20171008003351,2,null,RENEWAL,READY,5,0.0,null,null,null,null,11,12,null,null,null,null,20171008003351
0000000026,20171018225626,asdf,asdf,NEW BIZ,READY,,0.0,,,,,,,,,,,20171018225629
0000000051,20170929202446,asdf,,NEW BIZ,READY,,0.0,,,,,,,,,,,null
0000000051,20170929202455,,null,RENEWAL,READY,,0.0,null,null,null,null,,,null,null,null,null,null
0000000051,20171009162725,asdf,asdf,CANCEL,READY,,0.0,,,,,,,,,,,20171018004109
0000000051,20171009163947,lhk,,NEW BIZ,READY,,0.0,,,,,,,,,,,20171009163950
0000000067,20171018225601,asdf,asdf,NEW BIZ,READY,,0.0,,,,,,,,,,,20171018225613
0000000067,20171018230034,20171123,asdf,NEW BIZ,RESERVED,,0.0,,,20171022,,,,,,,,20171112172530
0000000103,20171018225826,asdf,asdf,NEW BIZ,READY,,0.0,,,,,,,,,,,20171018225829
0000000103,20171018225912,asdf,asdf,NEW BIZ,READY,,0.0,,,,,,,,,,,20171018225918
