Customer ID,Time Stamp,Eff Date,Exp Date,Txn Type,Proc Type,Premium,Text Date Time,Call Date Time,Mail Date Time,Complete Date,Company Name,Ownership,Memo,Chg Date Time,Policy No
0000000015,20180623155710,20180701,20180708,NEW BIZ,COMPLETE,57.04,,,20180701,20180624,TUGO,Y-AE,,20180624182125,FGS1740285
0000000032,20171109090444,20170801,20171130,NEW BIZ,SUCCESS,690.52,,,,20170728,TUGO,MOLLY,,20171116130022,VMD1077073
0000000032,20171113080033,20171110,20171130,CLAIM,CLOSE,0.0,,20171110,,20171201,TUGO,MOLLY,early return date : oct. 1st//refund by msp,20171201132532,VMD1077073
0000000033,20170812204207,20170813,20170819,NEW BIZ,SUCCESS,47.5,20170812204207,,,20170812,TUGO,Y-AE,family plan,20180613132936,FGS1703723
0000000052,20170808074900,20170809,20170809,NEW,SUCCESS,20.0,20170808104500,null,null,20170808,ALLIANZ,MOLLY,family plan,null,null
0000000154,20170809221200,20170802,20170902,NEW,SUCCESS,74.24,null,20170801163800,20170801173800,20170801,TUGO,MOLLY,null,null,null
0000000154,20170913184025,20170913,20170930,RENEWAL,SUCCESS,41.76,20170913,,20170913,20170913,TUGO,MOLLY,,20171017203414,null
0000000160,20180408125340,20180226,20190225,NEW BIZ,SUCCESS,148.35,,,,20180223,TUGO,MOLLY,,20180408125458,FGM1176111
0000000166,20170813212859,20170823,20170829,NEW BIZ,SUCCESS,47.5,20170813212859,,,20170813,TUGO,MOLLY,family plan,20171017204244,FGS1703759
0000000168,20180213104833,20180222,20180225,NEW BIZ,SUCCESS,20.0,,20180213,20180222,20180221,TUGO,MOLLY,,20180408124942,FGS1728891
0000000173,20170813221550,20170801,20170905,NEW,SUCCESS,101.43,20170813221550,null,null,20170711,TUGO,MOLLY,SIngle Trip,null,null
0000000174,20170813231135,20170801,20170905,NEW,SUCCESS,83.52,20170813231135,null,null,20170711,TUGO,MOLLY,Visitors to Canada,null,null
0000000175,20180305121544,20180308,20180315,NEW BIZ,SUCCESS,34.56,,,20180305,20180305,TUGO,MOLLY,,20180507160911,FGS1730248
0000000176,20170814204644,20170814,20170817,NEW BIZ,SUCCESS,20.0,20170814204644,,,20170811,TUGO,MOLLY,//single trip,20171017203949,FGS1703589
0000000414,20180508124310,20180701,20190630,NEW BIZ,WAITING,635.0,20180508,,20180701,,TUGO,MRS. BYUN,,20180703101644,
0000000416,20170919230938,20170902,20170905,NEW BIZ,SUCCESS,27.14,20170901,,20170901,20170901,TUGO,MOLLY,//family plan,20171017203040,FGS1706903
0000000416,20180622202518,20180721,20180806,NEW BIZ,COMPLETE,44.38,20180621,,20180622,20180623,TUGO,MOLLY,,20180625180751,FGS1740242
0000000417,20180622202406,20180630,20180806,NEW BIZ,COMPLETE,255.64,20180621,,20180622,20180623,TUGO,MOLLY,,20180623132201,FGS1740243
0000000421,20170920191158,20170819,20170824,NEW BIZ,SUCCESS,40.71,20170818,,,20170818,TUGO,OBED,,20171017204345,FGS1704954
0000000424,20170920014115,20170819,20170824,NEW,SUCCESS,40.71,20170818,,20170818,20170818,TUGO,OBED,,null,null
0000000442,20171126181835,20171127,20171211,NEW BIZ,FAIL,0.0,20171126,,,20171126,TUGO,MOLLY,high premium due to taking medications,20171126201944,
0000000447,20180620162027,20180705,20180718,NEW BIZ,COMPLETE,746.88,,20180620,20180625,20180625,TUGO,MOLLY,$468.67+$278.21,20180625180801,FGS1740324
0000000452,20170926203038,20171003,20171010,NEW BIZ,SUCCESS,96.0,20170926,20170927,20170928,20170927,TUGO,OBED,,20171112012950,FGS1710087
0000000528,20180328214203,20180329,20180414,NEW BIZ,SUCCESS,49.31,20180328,20180328,20180328,20180328,TUGO,MOLLY,,20180507161012,FGS1733376
0000000546,20171015232938,20171020,20171021,NEW BIZ,SUCCESS,33.84,20171015,20171015,201710162120,20171016,TUGO,Y-MI,6students($5.64),20171112013052,FGS1712314
0000000546,20171016213002,20171020,20181019,NEW BIZ,SUCCESS,64.4,20171015,20171015,201710162120,20171016,TUGO,Y-MI,roe, kang hyun,20171112013337,FGM1172849
0000000546,20171025181824,20171027,20171028,NEW BIZ,SUCCESS,85.75,20171025,,20171025,20171025,TUGO,Y-MI,chinese student & coach,20171208180648,FGS1713450
0000000546,20171030172722,20171103,20171104,NEW BIZ,SUCCESS,56.4,20171030,,201710301730,20171030,TUGO,Y-MI,,20171208180630,FGS1714012
0000000546,20171123203816,20171201,20171202,NEW BIZ,SUCCESS,53.06,20171123,,,20171130,TUGO,Y-MI,,20180106230134,FGS1717909
